full_name,season,champion,top_10,made_cut,total_score,prior_score,prior_afs,sg_on_field,roll_5yr_majors,roll_3yr_majors,roll_1yr_majors,rolling_majors,driving_distance,driving_accuracy,greens_in_regulation,bob_distance,scrambling_rough,scrambling_sand,putting_rating,scoring_avg,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total
aaron_baddeley,2006,0,0,1,307,315,302,-13,0,0,0,0.0,288.3,0.6073,0.5826,21.326666666666668,0.61,0.5271,1.5530000000000002,71.197,-0.106,-0.607,0.196,0.595,-0.517,0.078
aaron_baddeley,2007,0,0,0,315,307,305,-2,0,0,0,0.0,291.9,0.6,0.6035,21.00582954800881,0.6021,0.5905,1.57,70.08800000000001,0.152,-0.252,0.535,0.629,0.435,1.064
aaron_baddeley,2008,0,0,1,284,315,302,-13,0,0,0,0.0,290.3,0.5945,0.6202000000000001,21.109306728444565,0.5549000000000001,0.5694,1.577,70.196,0.096,-0.192,0.218,0.762,0.12300000000000001,0.885
aaron_baddeley,2010,0,0,1,293,315,300,-15,0,0,0,0.0,298.9,0.5665,0.6459999999999999,21.23752060034316,0.5458,0.5766,1.587,70.995,0.11199999999999999,-0.797,0.391,0.502,-0.294,0.20800000000000002
aaron_baddeley,2011,0,0,1,293,293,299,6,0,0,0,0.0,296.2,0.5567,0.6548,21.490981619558983,0.4932,0.5672999999999999,1.536,70.23,0.19,0.196,0.43799999999999994,0.324,0.8240000000000001,1.148
aaron_wise,2018,0,0,1,281,315,295,-20,0,0,0,0.0,302.9,0.6333,0.6881,20.84524992520944,0.5668,0.4257,1.619,70.247,0.41,0.012,0.042,0.23800000000000002,0.46399999999999997,0.703
abraham_ancer,2019,0,0,0,315,315,295,-20,0,0,0,0.0,293.3,0.7021,0.6679,19.34194851151823,0.5769,0.4943,1.6,70.58,0.575,0.011000000000000001,-0.005,-0.065,0.58,0.515
adam_hadwin,2016,0,0,1,294,315,304,-11,0,0,0,0.0,290.1,0.6362,0.6607,20.325520988949393,0.5714,0.5556,1.5859999999999999,70.719,0.223,-0.055,-0.081,0.53,-0.011000000000000001,0.519
adam_hadwin,2017,0,0,1,287,294,299,5,0,0,0,0.0,291.3,0.632,0.6507999999999999,20.035187570178184,0.6,0.6607,1.587,70.583,0.003,0.183,-0.044000000000000004,0.409,0.14300000000000002,0.551
adam_scott,2004,0,0,1,294,315,303,-12,0,0,0,0.0,295.4,0.5765,0.6559999999999999,20.266677631575984,0.5301,0.617,1.611,70.096,0.18,0.5710000000000001,-0.147,0.8240000000000001,0.603,1.4269999999999998
adam_scott,2005,0,0,1,292,294,303,9,0,0,0,0.0,300.1,0.574,0.6724,17.385582448780177,0.6047,0.4286,1.635,70.19800000000001,0.441,0.5660000000000001,0.024,0.016,1.03,1.047
adam_scott,2006,0,0,1,300,292,302,10,0,0,0,0.0,301.1,0.62,0.6912,18.605404960655925,0.4602000000000001,0.5283,1.6269999999999998,68.946,0.955,1.115,0.16,-0.13,2.23,2.101
adam_scott,2007,0,0,1,292,300,305,5,0,0,0,0.0,300.9,0.5917,0.6544,20.077355178713717,0.5081,0.5294,1.63,70.008,0.478,0.708,-0.081,0.129,1.105,1.234
adam_scott,2008,0,0,0,315,292,302,10,0,0,0,0.0,302.1,0.5466,0.6372,19.862228076594697,0.5287,0.6470999999999999,1.652,70.06,0.475,0.384,0.44,-0.44,1.2990000000000002,0.8590000000000001
