,full_name,season,experience,champion,top_10,made_cut,field_avg_score,total_score,sg_over_field,prior_score,driving_distance,driving_accuracy,greens_in_regulation,par_or_better_distance,par_or_worse_distance,scrambling,putting_rating
0,aaron_baddeley,2006,1,0,0,1,303,307,-4,315,288.3,0.6073,0.5826,21.326666666666668,16.756666666666668,0.5937,112.3
1,adam_scott,2006,4,0,0,1,303,300,3,292,301.1,0.62,0.6912,18.605404960655925,15.144595039344079,0.5794,307.8
2,arron_oberholser,2006,2,0,0,1,303,310,-7,288,285.0,0.6253,0.6927,18.822896813308105,16.01043652002523,0.5767,244.3
3,bart_bryant,2006,2,0,0,0,303,315,-12,315,282.2,0.7276,0.6867,16.733241616614517,16.766758383385483,0.5546,218.1
4,ben_crane,2006,2,0,0,0,303,315,-12,315,285.8,0.6351,0.6201,21.40050155175496,16.266165114911693,0.5649000000000001,22.9
5,ben_curtis,2006,4,0,0,0,303,315,-12,295,278.8,0.6661,0.6525,17.841341737660876,16.908658262339124,0.5688,169.1
6,bernhard_langer,2006,5,0,0,0,303,315,-12,315,285.8,0.6241,0.6566,19.859657005821845,17.057009660844813,0.591,177.9
7,billy_mayfair,2006,3,0,0,1,303,311,-8,288,282.3,0.7014,0.6655,18.67054907542297,17.496117591243685,0.6042000000000001,173.7
8,brett_quigley,2006,1,0,0,1,303,306,-3,315,289.6,0.5885,0.6783,19.57958801064687,16.753745322686466,0.6184000000000001,80.5
9,brett_wetterich,2006,1,0,0,1,303,302,1,315,307.8,0.6146,0.6781999999999999,19.680776859102327,14.985889807564336,0.5347,253.8
10,camilo_villegas,2006,1,0,0,0,303,315,-12,315,302.1,0.5806,0.6529,19.575519274366926,15.84114739229974,0.5645,248.1
11,carl_pettersson,2006,2,0,0,1,303,307,-4,292,286.6,0.6101,0.6231,19.86485464331416,16.635145356685847,0.5895,166.3
12,chad_campbell,2006,5,0,0,0,303,315,-12,284,290.9,0.5977,0.6743000000000001,18.218091168762253,16.198575497904407,0.5784,199.9
13,charles_howell_iii,2006,5,0,0,1,303,301,2,315,295.4,0.5639,0.6589,19.84590244231791,18.90409755768209,0.5692,242.7
14,chris_dimarco,2006,5,0,0,0,303,315,-12,315,279.3,0.6434000000000001,0.6645,17.793277639790443,15.123389026876216,0.5902000000000001,239.2
15,david_howell,2006,1,0,0,1,303,304,-1,315,289.1,0.6238,0.6321,20.64279050903729,15.35720949096271,0.5368999999999999,91.3
16,david_toms,2006,5,0,1,1,303,294,9,315,285.4,0.6918000000000001,0.6618,19.014519433989264,14.902147232677395,0.5929,194.5
17,davis_love_iii,2006,5,0,0,1,303,300,3,291,301.9,0.5989,0.6659,19.746639165522147,15.420027501144517,0.5514,142.7
18,dean_wilson,2006,1,0,0,1,303,301,2,315,282.9,0.6347,0.6527,19.74376737099584,16.75623262900416,0.5937,74.2
19,ernie_els,2006,4,0,0,0,303,315,-12,298,295.1,0.5761999999999999,0.6372,20.253147903474158,16.413518763192492,0.5932999999999999,245.7
20,fred_couples,2006,5,0,0,1,303,301,2,284,301.5,0.5436,0.6533,19.70572613128252,18.21094053538413,0.5513,325.7
21,fred_funk,2006,5,0,0,0,303,315,-12,315,272.8,0.7801,0.6635,16.78859545941828,15.461404540581722,0.6006,194.1
22,geoff_ogilvy,2006,2,0,0,1,303,299,4,289,295.3,0.6189,0.6294,20.74641173793676,16.253588262063243,0.5889,182.3
23,ian_poulter,2006,1,0,0,1,303,296,7,315,287.9,0.7019,0.6603,18.022707898648306,15.56062543468503,0.6038,170.3
24,j.j._henry,2006,1,0,0,1,303,302,1,315,295.9,0.6003000000000001,0.6816,19.090185960330512,16.90981403966949,0.5478000000000001,176.6
25,jeff_sluman,2006,3,0,0,1,303,305,-2,302,279.8,0.6481,0.6524,18.388657887102283,15.444675446231056,0.5886,188.4
26,jerry_kelly,2006,4,0,1,1,303,292,11,289,278.1,0.7026,0.6711,18.582856944566476,16.250476388766867,0.6098,231.3
27,jim_furyk,2006,3,0,0,1,303,296,7,291,281.9,0.7384999999999999,0.7071,17.47988526532394,14.186781401342733,0.6466,92.8
28,joe_durant,2006,1,0,0,0,303,315,-12,315,289.1,0.7843000000000001,0.6975,18.383568448179176,15.94976488515416,0.56,305.7
29,john_rollins,2006,3,0,0,1,303,298,5,315,295.5,0.6422,0.6612,20.095059249726038,16.154940750273962,0.5297,184.9
30,josé_maría_olazábal,2006,4,0,0,1,303,304,-1,284,287.2,0.5968,0.6552,19.215417150038665,16.534582849961335,0.5778,189.5
31,justin_rose,2006,1,0,1,1,303,292,11,315,291.4,0.64,0.6789000000000001,18.304166192427346,14.195833807572658,0.5829,212.2
32,k.j._choi,2006,5,0,0,1,303,300,3,315,287.0,0.6503,0.6812,18.67023286247092,16.913100470862418,0.589,139.0
33,larry_mize,2006,2,0,0,0,303,315,-12,296,278.3,0.7433,0.6416,17.328681427044586,18.671318572955414,0.6049,126.0
34,lucas_glover,2006,2,0,0,1,303,298,5,315,299.4,0.6369,0.6733,20.08810717812905,15.411892821870945,0.5623,146.8
35,luke_donald,2006,3,0,1,1,303,295,8,296,283.7,0.6686,0.6605,19.079268562732924,15.58739810393374,0.6545000000000001,150.6
36,mark_calcavecchia,2006,2,0,0,1,303,298,5,315,282.4,0.653,0.6207,19.976968613881333,16.189698052785324,0.5622,244.3
37,mark_o'meara,2006,5,0,0,0,303,315,-12,315,274.4,0.5735,0.5943999999999999,20.86180081712346,18.804865849543198,0.589,110.3
38,mike_weir,2006,5,0,0,1,303,298,5,287,281.2,0.6409999999999999,0.6647,19.540712787664628,15.709287212335367,0.5867,232.3
39,padraig_harrington,2006,2,0,1,1,303,293,10,292,294.7,0.6614,0.6522,18.93874596194561,14.977920704721058,0.6038,202.0
40,paul_goydos,2006,1,0,0,0,303,315,-12,315,274.3,0.7290000000000001,0.6528,17.92008510024436,16.57991489975564,0.6067,334.3
41,phil_mickelson,2006,5,0,0,1,303,299,4,281,300.7,0.5861,0.6828,20.70154476254261,13.965121904124056,0.5584,200.8
42,retief_goosen,2006,5,0,1,1,303,291,12,284,297.6,0.5728,0.6546,19.436545189124764,15.896788144208571,0.5737,197.6
43,rich_beem,2006,5,0,0,1,303,308,-5,296,295.6,0.6324000000000001,0.662,19.24462993278904,16.338703400544293,0.5366,266.3
