,full_name,season,experience,champion,top_10,made_cut,total_score,prior_score,ps_roll_avg,prior_afs,sg_on_field,sg_roll_avg,driving_distance,driving_accuracy,greens_in_regulation,bob_distance,scrambling_rough,scrambling_sand,putting_rating,scoring_avg,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total,masters_last5,usopen_last5,british_last5,pga_last5
0,aaron_baddeley,2006,1,0,0,1,307,315,315.0,302,-13,-13.0,288.3,0.6073,0.5826,21.326666666666668,0.61,0.5271,1.5530000000000002,71.197,-0.106,-0.607,0.196,0.595,-0.517,0.078,0,0,0,0
1,aaron_baddeley,2007,2,0,0,0,315,307,311.0,305,-2,-7.5,291.9,0.6,0.6035,21.00582954800881,0.6021,0.5905,1.57,70.08800000000001,0.152,-0.252,0.535,0.629,0.435,1.064,0,0,0,0
2,aaron_baddeley,2008,3,0,0,1,284,315,312.3333333333333,302,-13,-9.333333333333334,290.3,0.5945,0.6202000000000001,21.109306728444565,0.5549000000000001,0.5694,1.577,70.196,0.096,-0.192,0.218,0.762,0.123,0.885,0,0,0,0
3,aaron_baddeley,2010,4,0,0,1,293,315,313.0,300,-15,-10.75,298.9,0.5665,0.6459999999999999,21.23752060034316,0.5458,0.5766,1.587,70.995,0.112,-0.797,0.391,0.502,-0.294,0.208,0,0,0,0
4,aaron_baddeley,2011,5,0,0,1,293,293,309.0,299,6,-7.4,296.2,0.5567,0.6548,21.490981619558983,0.4932,0.5672999999999999,1.536,70.23,0.19,0.196,0.438,0.324,0.8240000000000001,1.148,0,0,0,0
5,aaron_wise,2018,1,0,0,1,281,315,315.0,294,-21,-21.0,302.9,0.6333,0.6881,20.84524992520944,0.5668,0.4257,1.619,70.247,0.41,0.012,0.042,0.238,0.464,0.703,0,0,0,0
7,adam_hadwin,2016,1,0,0,1,294,315,315.0,304,-11,-11.0,290.1,0.6362,0.6607,20.325520988949393,0.5714,0.5556,1.586,70.719,0.223,-0.055,-0.081,0.53,-0.011,0.519,0,0,0,0
8,adam_hadwin,2017,2,0,0,1,287,294,304.5,299,5,-3.0,291.3,0.632,0.6507999999999999,20.035187570178184,0.6,0.6607,1.587,70.583,0.003,0.183,-0.044,0.409,0.14300000000000002,0.551,0,0,0,0
9,adam_scott,2004,1,0,0,1,294,315,315.0,303,-12,-12.0,295.4,0.5765,0.6559999999999999,20.266677631575984,0.5301,0.617,1.611,70.096,0.18,0.5710000000000001,-0.147,0.8240000000000001,0.603,1.4269999999999998,0,0,0,0
10,adam_scott,2005,2,0,0,1,292,294,304.5,303,9,-1.5,300.1,0.574,0.6724,17.385582448780177,0.6047,0.4286,1.635,70.19800000000001,0.441,0.5660000000000001,0.024,0.016,1.03,1.047,0,0,0,0
11,adam_scott,2006,3,0,0,1,300,292,300.3333333333333,302,10,2.3333333333333335,301.1,0.62,0.6912,18.605404960655925,0.4602000000000001,0.5283,1.6269999999999998,68.946,0.955,1.115,0.16,-0.13,2.23,2.101,0,0,0,0
12,adam_scott,2007,4,0,0,1,292,300,300.25,305,5,3.0,300.9,0.5917,0.6544,20.07735517871372,0.5081,0.5294,1.63,70.008,0.478,0.708,-0.081,0.129,1.105,1.234,0,0,0,0
13,adam_scott,2008,5,0,0,0,315,292,298.6,302,10,4.4,302.1,0.5466,0.6372,19.862228076594697,0.5287,0.6470999999999999,1.652,70.06,0.475,0.384,0.44,-0.44,1.2990000000000002,0.8590000000000001,0,0,0,0
14,adam_scott,2009,6,0,0,1,287,315,301.3333333333333,299,-16,1.0,294.9,0.5877,0.6282,18.883180714299407,0.5,0.5,1.672,71.72,-0.005,-0.045,0.27,-0.8809999999999999,0.22,-0.66,0,0,0,0
15,adam_scott,2010,7,0,1,1,276,287,299.2857142857143,300,13,2.7142857142857144,294.4,0.6293,0.6960999999999999,18.518262607491017,0.4959,0.5676,1.671,70.468,0.472,1.164,-0.027000000000000003,-0.748,1.609,0.862,0,0,0,0
16,adam_scott,2011,8,0,1,1,284,276,296.375,299,23,5.25,299.7,0.6397999999999999,0.6808,19.850105006019486,0.5728,0.5938,1.633,69.872,0.7929999999999999,0.102,-0.013,-0.247,0.882,0.635,0,0,0,0
17,adam_scott,2012,9,1,1,1,279,284,295.0,297,13,6.111111111111111,304.6,0.5961,0.6657,19.635423717947454,0.4848,0.4706,1.641,69.533,0.605,0.494,0.203,-0.138,1.3019999999999998,1.164,0,0,0,0
18,adam_scott,2013,10,0,0,1,289,279,293.4,300,21,7.6,297.8,0.6184000000000001,0.688,18.465811126391266,0.5769,0.5,1.64,69.3,0.7340000000000001,0.5479999999999999,0.055,-0.027000000000000003,1.337,1.31,1,0,0,0
19,adam_scott,2014,11,0,0,1,289,289,293.0,304,15,8.272727272727273,303.5,0.6151,0.6879000000000001,20.47231660614456,0.6207,0.6286,1.598,69.205,0.725,0.61,0.166,0.22,1.5,1.72,1,0,0,0
20,adam_scott,2015,12,0,0,1,299,289,292.6666666666667,294,5,8.0,311.6,0.6069,0.6962,19.825800039903108,0.5733,0.4595,1.638,70.456,0.682,0.114,-0.195,-0.396,0.601,0.206,1,0,0,0
21,adam_scott,2016,13,0,1,1,286,299,293.15384615384613,304,5,7.769230769230769,304.6,0.5555,0.7076,18.066294315043628,0.66,0.5962,1.639,69.47,0.522,1.491,0.049,-0.168,2.062,1.894,1,0,0,0
22,adam_scott,2017,14,0,0,1,289,286,292.64285714285717,299,13,8.142857142857142,307.0,0.5665,0.6705,20.33573793841768,0.5918,0.5476,1.631,69.99600000000001,0.524,0.536,0.043,-0.097,1.103,1.006,1,0,0,0
23,adam_scott,2018,15,0,0,1,282,289,292.4,294,5,7.933333333333334,304.6,0.6251,0.7066,19.271869719879287,0.5109,0.5165,1.675,70.42,0.3,0.639,0.125,-0.285,1.064,0.779,0,0,0,0
25,alex_cejka,2010,1,0,0,1,288,291,291.0,300,9,9.0,277.4,0.7031000000000001,0.6659999999999999,17.087394659514366,0.526,0.4719,1.609,71.219,-0.146,0.464,0.077,-0.468,0.396,-0.073,0,0,0,0
26,alex_noren,2018,1,0,0,1,296,315,315.0,294,-21,-21.0,299.2,0.6173,0.6491,21.97789806765475,0.6146,0.5185,1.609,69.973,0.208,0.107,-0.029,0.758,0.28600000000000003,1.044,0,0,0,0
27,anders_hansen,2007,1,0,0,0,315,315,315.0,305,-10,-10.0,280.7,0.6695,0.6285000000000001,17.485326705555142,0.5106,0.5,1.534,70.85600000000002,-0.224,0.335,-0.023,-0.17600000000000002,0.087,-0.08900000000000001,0,0,0,0
28,andres_romero,2007,1,0,1,1,287,315,315.0,305,-10,-10.0,312.5,0.5625,0.5889,17.390464980046456,0.7646999999999999,0.6215999999999999,1.5719999999999998,68.653,1.9880000000000002,-0.457,0.342,0.41600000000000004,1.8730000000000002,2.289,0,0,0,0
29,andres_romero,2008,2,0,0,1,298,287,301.0,302,15,2.5,299.1,0.5283,0.5879,19.325936516045534,0.5828,0.4865,1.5830000000000002,70.816,0.061,-0.5529999999999999,0.079,0.008,-0.414,-0.406,0,0,0,0
30,andrew_landry,2018,1,0,0,1,288,315,315.0,294,-21,-21.0,291.1,0.6292,0.6563,18.020730250186862,0.5904,0.4706,1.609,71.059,0.206,-0.083,-0.152,-0.01,-0.029,-0.039,0,0,0,0
31,anthony_kim,2008,1,0,0,1,286,315,315.0,302,-13,-13.0,300.9,0.5834,0.6578,19.51900713620786,0.5832999999999999,0.5467,1.6030000000000002,69.279,0.5489999999999999,0.474,0.093,0.362,1.117,1.479,0,0,0,0
32,anthony_kim,2009,2,0,1,1,276,286,300.5,299,13,0.0,299.0,0.5365,0.6269,21.929609612981658,0.5506,0.5632,1.5759999999999998,70.507,0.115,0.1,0.019,0.245,0.235,0.479,0,0,0,0
33,arron_oberholser,2005,1,0,0,1,288,315,315.0,303,-12,-12.0,283.5,0.667,0.6684,18.095241777881828,0.5882000000000001,0.4928,1.628,70.317,0.245,0.112,-0.042,0.149,0.315,0.464,0,0,0,0
34,arron_oberholser,2006,2,0,0,1,310,288,301.5,302,14,1.0,285.0,0.6253,0.6927,18.822896813308105,0.6154,0.5467,1.642,69.858,0.095,0.589,0.243,0.16699999999999998,0.927,1.095,0,0,0,0
35,arron_oberholser,2007,3,0,0,1,292,310,304.3333333333333,305,-5,-1.0,285.5,0.617,0.6225,18.210305385199398,0.6,0.5872999999999999,1.6,69.807,0.125,0.3,0.396,0.362,0.821,1.183,0,0,0,0
36,bart_bryant,2005,1,0,0,0,315,315,315.0,303,-12,-12.0,283.2,0.73,0.6893,19.059913868290874,0.519,0.4842,1.64,70.187,0.44,0.452,-0.12,0.298,0.772,1.07,0,0,0,0
37,bart_bryant,2006,2,0,0,0,315,315,315.0,302,-13,-12.5,282.2,0.7276,0.6867,16.733241616614517,0.5592,0.4211,1.67,70.745,0.299,0.379,-0.145,-0.138,0.5329999999999999,0.395,0,0,0,0
38,ben_crane,2005,1,0,0,0,315,315,315.0,303,-12,-12.0,293.1,0.5663,0.6239,21.090249623147336,0.5545,0.5832999999999999,1.5530000000000002,69.7,0.097,-0.215,0.119,0.939,0.0,0.939,0,0,0,0
39,ben_crane,2006,2,0,0,0,315,315,315.0,302,-13,-12.5,285.8,0.6351,0.6201,21.40050155175496,0.5179,0.4815,1.581,70.834,-0.233,-0.408,0.272,0.8490000000000001,-0.369,0.48,0,0,0,0
40,ben_crane,2009,3,0,0,1,288,315,315.0,299,-16,-13.666666666666666,285.0,0.6775,0.6487,18.916647375173717,0.608,0.5401,1.5830000000000002,70.376,0.282,-0.038,0.1,0.431,0.344,0.775,0,0,0,0
41,ben_crane,2010,4,0,0,0,315,288,308.25,300,12,-7.25,282.3,0.7112999999999999,0.6822,18.19355414700492,0.5324,0.5660000000000001,1.615,70.234,0.16899999999999998,0.379,0.046,0.268,0.594,0.862,0,0,0,0
42,ben_crane,2011,5,0,0,1,287,315,309.6,299,-16,-9.0,284.9,0.6706,0.6636,18.82088452874743,0.6143,0.4225,1.616,70.434,0.101,0.162,0.093,0.134,0.35600000000000004,0.49,0,0,0,0
43,ben_crane,2014,6,0,0,0,315,315,310.5,304,-11,-9.333333333333334,279.0,0.664,0.6344,18.71055792267504,0.5602,0.5431,1.599,70.954,-0.297,-0.009000000000000001,0.017,0.138,-0.29,-0.152,0,0,0,0
44,ben_curtis,2004,1,0,0,0,315,315,315.0,303,-12,-12.0,282.1,0.6434000000000001,0.6335000000000001,18.71513707017813,0.5714,0.4583,1.62,71.578,0.171,0.274,0.223,-0.174,0.669,0.494,0,0,1,0
45,ben_curtis,2005,2,0,0,1,295,315,315.0,303,-12,-12.0,280.0,0.6341,0.6188,17.751330779534374,0.5476,0.4026,1.639,72.393,-0.337,-0.269,-0.251,-0.101,-0.857,-0.958,0,0,1,0
46,ben_curtis,2006,3,0,0,0,315,295,308.3333333333333,302,7,-5.666666666666667,278.8,0.6661,0.6525,17.841341737660876,0.5065,0.4615,1.639,71.192,-0.118,0.065,-0.09,0.077,-0.14400000000000002,-0.067,0,0,1,0
47,ben_curtis,2007,4,0,0,0,315,315,310.0,305,-10,-6.75,277.1,0.6737000000000001,0.6056,19.22736947181168,0.5138,0.4272,1.638,71.582,-0.03,-0.5539999999999999,0.023,-0.188,-0.561,-0.7490000000000001,0,0,1,0
48,ben_curtis,2008,5,0,0,1,288,315,311.0,302,-13,-8.0,284.7,0.672,0.6345000000000001,17.619854430127646,0.5786,0.5979,1.526,69.98100000000001,0.377,-0.173,0.236,0.321,0.44,0.7609999999999999,0,0,0,0
49,ben_curtis,2009,6,0,0,0,315,288,307.1666666666667,299,11,-4.833333333333333,279.5,0.6475,0.6425,19.696023287286533,0.5760000000000001,0.5542,1.625,70.97800000000002,0.154,-0.642,-0.028,0.7659999999999999,-0.515,0.251,0,0,0,0
50,ben_curtis,2012,7,0,0,0,315,315,308.2857142857143,297,-18,-6.714285714285714,274.8,0.6970000000000001,0.6887000000000001,17.97825353030711,0.5437,0.3333,1.526,70.538,-0.044,0.408,0.036000000000000004,0.505,0.401,0.906,0,0,0,0
51,ben_martin,2014,1,0,0,0,315,315,315.0,304,-11,-11.0,291.7,0.6434000000000001,0.6604000000000001,18.776448013402323,0.5636,0.5349,1.607,70.732,0.213,-0.097,0.015,0.29100000000000004,0.13,0.421,0,0,0,0
52,bernhard_langer,2004,1,0,0,1,289,285,285.0,303,18,18.0,282.2,0.6257,0.6525,18.107222929599725,0.6224000000000001,0.4483,1.608,71.24600000000002,0.029,0.616,0.055,-0.229,0.7,0.471,0,0,0,0
53,bernhard_langer,2005,2,0,0,0,315,289,287.0,303,14,16.0,289.1,0.5755,0.6501,19.31205071393968,0.6038,0.5417000000000001,1.621,70.506,-0.218,0.39,0.17600000000000002,0.145,0.34700000000000003,0.4920000000000001,0,0,0,0
54,bernhard_langer,2006,3,0,0,0,315,315,296.3333333333333,302,-13,6.333333333333333,285.8,0.6241,0.6566,19.859657005821845,0.6124,0.5362,1.62,71.126,-0.229,0.146,0.173,0.3,0.09,0.39,0,0,0,0
55,bill_haas,2009,1,0,0,1,289,315,315.0,299,-16,-16.0,298.3,0.6281,0.6737000000000001,19.888006750300544,0.5467,0.5670000000000001,1.5490000000000002,70.53,0.535,-0.126,0.011,0.036000000000000004,0.42,0.455,0,0,0,0
56,bill_haas,2010,2,0,0,1,290,289,302.0,300,11,-2.5,293.3,0.6417,0.6992,18.600926817559984,0.5526,0.4955,1.638,70.308,0.464,0.515,0.005,-0.066,0.985,0.918,0,0,0,0
57,bill_haas,2011,3,0,0,1,292,290,298.0,299,9,1.3333333333333333,296.6,0.6359,0.6944,19.990634091716274,0.6303,0.43,1.641,70.135,0.628,0.044,0.08,0.165,0.752,0.916,0,0,0,0
58,bill_haas,2012,4,0,0,1,289,292,296.5,297,5,2.25,292.2,0.6362,0.6517000000000001,20.390844503927077,0.5704,0.6027,1.63,70.484,0.472,-0.18,0.273,0.103,0.564,0.6679999999999999,0,0,0,0
59,bill_haas,2013,5,0,0,1,290,289,295.0,300,11,4.0,288.2,0.6231,0.6779000000000001,18.62324050227445,0.6358,0.527,1.626,70.023,0.365,0.34600000000000003,0.289,0.266,0.999,1.265,0,0,0,0
60,bill_haas,2014,6,0,0,1,282,290,294.1666666666667,304,14,5.666666666666667,291.9,0.6294,0.6862,19.19106517728729,0.5758,0.5962,1.63,70.132,0.29600000000000004,0.382,0.265,0.147,0.943,1.09,0,0,0,0
61,bill_haas,2015,7,0,0,1,294,282,292.42857142857144,294,12,6.571428571428571,290.7,0.6335000000000001,0.688,18.503862941288773,0.6015999999999999,0.4928,1.643,70.672,0.14,0.422,0.126,-0.229,0.6890000000000001,0.46,0,0,0,0
62,bill_haas,2016,8,0,0,1,294,294,292.625,304,10,7.0,289.6,0.6234000000000001,0.6714,18.07771398865342,0.6382,0.5556,1.636,70.444,0.068,0.272,0.353,-0.174,0.693,0.519,0,0,0,0
63,billy_horschel,2013,1,0,0,1,295,315,315.0,300,-15,-15.0,293.8,0.6417,0.6748000000000001,19.893620993926675,0.5294,0.5042,1.619,70.244,0.465,-0.121,-0.069,0.381,0.275,0.6559999999999999,0,0,0,0
64,billy_horschel,2014,2,0,0,0,315,295,305.0,304,9,-3.0,291.6,0.6704000000000001,0.7043,19.366041584863613,0.5492,0.5333,1.659,70.521,0.473,0.132,-0.087,0.22,0.518,0.738,0,0,0,0
65,billy_horschel,2015,3,0,0,1,292,315,308.3333333333333,294,-21,-9.0,295.0,0.6377,0.6933,20.35896930716288,0.5503,0.4697,1.616,71.05,0.366,0.13699999999999998,-0.301,0.244,0.202,0.446,0,0,0,0
66,billy_horschel,2017,4,0,0,0,315,292,304.25,299,7,-5.0,300.1,0.6007,0.6789000000000001,18.73898491262415,0.4596,0.4842,1.662,70.832,0.224,0.02,-0.324,0.084,-0.08,0.004,0,0,0,0
67,billy_horschel,2018,5,0,0,1,292,315,306.4,294,-21,-8.2,295.4,0.6779999999999999,0.7175,20.013038527697667,0.539,0.5132,1.6369999999999998,70.154,0.5379999999999999,0.35200000000000004,-0.16899999999999998,0.392,0.72,1.112,0,0,0,0
68,billy_hurley_iii,2016,1,0,0,0,315,315,315.0,304,-11,-11.0,277.7,0.6536,0.6271,18.009171274658918,0.6302,0.4444,1.5759999999999998,70.846,-0.206,0.226,-0.104,0.433,-0.084,0.348,0,0,0,0
69,billy_mayfair,2005,1,0,0,1,288,315,315.0,303,-12,-12.0,288.2,0.6975,0.6949,18.934564147200337,0.5636,0.5455,1.638,70.335,0.409,0.304,0.271,-0.08,0.984,0.904,0,0,0,0
70,billy_mayfair,2006,2,0,0,1,311,288,301.5,302,14,1.0,282.3,0.7014,0.6655,18.67054907542297,0.5297999999999999,0.5253,1.631,70.762,0.192,0.077,0.101,0.103,0.37,0.473,0,0,0,0
71,billy_mayfair,2008,3,0,0,0,315,315,306.0,302,-13,-3.6666666666666665,284.0,0.7216,0.6812,17.636034134691393,0.6204,0.623,1.658,70.512,0.308,0.003,0.294,-0.228,0.605,0.377,0,0,0,0
72,bo_van_pelt,2004,1,0,0,0,315,315,315.0,303,-12,-12.0,294.4,0.6515000000000001,0.6768000000000001,20.346666666666668,0.5832999999999999,0.4369,1.6230000000000002,70.245,0.512,0.194,0.094,0.34600000000000003,0.8,1.146,0,0,0,0
73,bo_van_pelt,2010,2,0,1,1,280,315,315.0,300,-15,-13.5,292.0,0.6523,0.6923,19.205774594579047,0.6243,0.5714,1.628,69.955,0.7240000000000001,0.26,0.107,0.101,1.091,1.192,0,0,0,0
74,bo_van_pelt,2011,3,0,0,1,287,280,303.3333333333333,299,19,-2.6666666666666665,297.4,0.6359,0.6801999999999999,19.310311454562875,0.5404,0.5556,1.643,70.092,0.586,0.344,0.104,-0.16699999999999998,1.034,0.867,0,0,0,0
75,bo_van_pelt,2012,4,0,0,1,289,287,299.25,297,10,0.5,296.1,0.6479,0.6707,19.27609443499037,0.5593,0.5165,1.6,69.718,0.45,0.665,-0.22,0.542,0.895,1.4369999999999998,0,0,0,0
76,boo_weekley,2007,1,0,0,1,291,315,315.0,305,-10,-10.0,296.6,0.6465000000000001,0.6586,18.061801716606237,0.5594,0.4667,1.586,70.303,0.8759999999999999,0.231,-0.289,-0.192,0.8190000000000001,0.627,0,0,0,0
77,boo_weekley,2008,2,0,0,0,315,291,303.0,302,11,0.5,291.7,0.6475,0.6787000000000001,18.18265840482812,0.5256000000000001,0.5,1.6769999999999998,70.414,0.715,0.443,-0.109,-0.498,1.048,0.55,0,0,0,0
78,boo_weekley,2013,3,0,0,0,315,315,307.0,300,-15,-4.666666666666667,290.9,0.6636,0.6939,17.993288621501815,0.5243,0.5055,1.6740000000000002,70.611,0.594,0.401,-0.221,-0.6759999999999999,0.774,0.099,0,0,0,0
79,branden_grace,2016,1,0,0,1,291,315,315.0,304,-11,-11.0,295.6,0.5514,0.6676000000000001,18.661926481475593,0.6087,0.5,1.6269999999999998,70.204,0.326,0.603,0.032,-0.105,0.96,0.855,0,0,0,0
80,branden_grace,2017,2,0,0,1,287,291,303.0,299,8,-1.5,292.0,0.5847,0.664,18.883392633769787,0.6667000000000001,0.4545,1.638,70.862,0.18,0.173,0.165,-0.248,0.518,0.271,0,0,0,0
81,branden_grace,2018,3,0,0,1,293,287,297.6666666666667,294,7,1.3333333333333333,298.9,0.6349,0.6709999999999999,20.509561997598425,0.6277,0.5,1.63,70.41199999999998,0.163,0.174,0.125,0.35,0.463,0.812,0,0,0,0
82,brandt_jobe,2005,1,0,0,1,293,315,315.0,303,-12,-12.0,302.3,0.5729,0.6552,19.590710099999487,0.5909,0.3708,1.6230000000000002,70.43,0.429,0.314,-0.18600000000000005,0.15,0.557,0.7070000000000001,0,0,0,0
83,brandt_snedeker,2007,1,0,1,1,284,315,315.0,305,-10,-10.0,285.6,0.598,0.6457999999999999,17.746852713932125,0.6,0.5590999999999999,1.528,70.089,-0.157,0.226,0.092,0.511,0.161,0.672,0,0,0,0
84,brandt_snedeker,2008,2,0,0,0,315,284,299.5,302,18,4.0,280.8,0.6051,0.6335999999999999,18.51517485739738,0.6303,0.4951,1.617,70.506,-0.28,0.325,0.116,0.122,0.161,0.282,0,0,0,0
85,brandt_snedeker,2010,3,0,0,1,284,315,304.6666666666667,300,-15,-2.3333333333333335,277.1,0.6426999999999999,0.6236,19.356097015324824,0.5694,0.6,1.554,70.258,-0.287,0.08800000000000001,0.308,0.463,0.109,0.5720000000000001,0,0,0,0
86,brandt_snedeker,2011,4,0,0,1,288,284,299.5,299,15,2.0,287.2,0.6402,0.649,19.62655492778428,0.5879,0.4706,1.584,69.859,0.127,0.191,0.189,0.588,0.507,1.094,0,0,0,0
87,brandt_snedeker,2012,5,0,1,1,284,288,297.2,297,9,3.4,288.7,0.605,0.6375,20.550824108239013,0.6509999999999999,0.5918,1.551,69.84,-0.276,0.11,0.316,0.86,0.15,1.01,0,0,0,0
88,brandt_snedeker,2013,6,0,0,1,295,284,295.0,300,16,5.5,281.3,0.6257,0.6568,18.994975943946628,0.6462,0.6711,1.577,69.791,-0.025,0.121,0.354,0.6920000000000001,0.449,1.141,0,0,0,0
89,brandt_snedeker,2014,7,0,0,0,315,295,295.0,304,9,6.0,285.6,0.637,0.6328,19.44049190978573,0.6133,0.5341,1.596,70.671,-0.043,0.14300000000000002,0.217,0.326,0.318,0.644,0,0,0,0
90,brandt_snedeker,2015,8,0,1,1,289,315,297.5,294,-21,2.625,288.4,0.6098,0.6496999999999999,19.90315050437995,0.5876,0.6422,1.57,70.158,-0.126,-0.199,0.344,0.588,0.02,0.607,0,0,0,0
91,brandt_snedeker,2016,9,0,0,1,291,289,296.55555555555554,304,15,4.0,292.6,0.5869,0.6567000000000001,19.93505949883828,0.6484000000000001,0.5789,1.592,70.203,-0.059,0.16399999999999998,0.32,0.395,0.573,0.968,0,0,0,0
92,brandt_snedeker,2018,10,0,0,0,315,291,296.0,294,3,3.9,293.1,0.6279,0.6504000000000001,19.669089522367038,0.5893,0.5766,1.591,70.37899999999998,-0.145,-0.026,0.318,0.478,0.147,0.625,0,0,0,0
94,brendan_steele,2011,1,0,0,0,315,315,315.0,299,-16,-16.0,292.8,0.6483,0.6545000000000001,18.74464723594445,0.4622,0.5135000000000001,1.596,71.01899999999998,0.118,0.209,-0.273,-0.06,0.054000000000000006,-0.006,0,0,0,0
95,brendan_steele,2016,2,0,0,1,291,315,315.0,304,-11,-13.5,302.2,0.6029,0.6872,19.000661391997205,0.4970000000000001,0.6029,1.655,70.855,0.331,0.238,-0.188,-0.287,0.542,0.255,0,0,0,0
96,brendan_steele,2017,3,0,0,0,315,291,307.0,299,8,-6.333333333333333,300.4,0.6288,0.6726000000000001,19.770376671930155,0.6416,0.4051,1.628,70.503,0.387,0.411,0.09,-0.013,0.888,0.875,0,0,0,0
97,brendon_de_jonge,2013,1,0,0,1,295,315,315.0,300,-15,-15.0,286.3,0.6628000000000001,0.6884,17.963752565931202,0.6095,0.5431,1.617,70.154,0.28,0.414,0.032,0.03,0.725,0.7559999999999999,0,0,0,0
